Name	Team	GP	G	A	PTS	GWG	OTG	First	Insurance	PTS/G
Vallati, Giovanni	OSH	68	11	37	48	1	0	1	3	0.71
Chisholm, Declan	PBO	67	5	43	48	2	0	1	1	0.72
Kirk, Liam	PBO	63	26	21	47	3	0	2	4	0.75
Eggenberger, Nando	OSH	59	25	22	47	3	0	3	1	0.80
Tymkin, Cole	LDN	63	22	25	47	6	0	2	2	0.75
Washkurak, Keean	MISS	66	16	31	47	1	0	1	2	0.71
Henderson, Eric	HAM	67	14	33	47	1	0	2	5	0.70
D'Amico, Daniel	WSR	67	21	25	46	3	2	4	2	0.69
Clark, Kody	OTT	57	17	29	46	6	1	3	3	0.81
Carson, Macauley	SBY	64	17	29	46	5	0	3	0	0.72
Der-Arguchintsev, Semyon	PBO	62	6	40	46	1	0	0	0	0.74
Willms, Jason	BAR	68	20	25	45	1	1	3	0	0.66
Lodnia, Ivan	NIAG	41	17	28	45	1	0	3	2	1.10
Samorukov, Dmitri	GUE	59	10	35	45	3	1	0	0	0.76
Hutcheson, Nolan	SBY	66	24	20	44	1	0	3	0	0.67
Angle, Tyler	WSR	58	20	24	44	0	0	1	2	0.76
Kirwin, Barret	OS	65	21	22	43	2	0	4	0	0.66
Toropchenko, Alexey	GUE	62	17	26	43	3	0	2	1	0.69
Roth, Ryan	SSM	68	21	21	42	1	0	4	3	0.62
Uba, Eric	FLNT	67	19	23	42	2	0	2	2	0.63
Levin, David	SBY	43	18	24	42	5	1	2	3	0.98
Tullio, Ty	OSH	60	15	27	42	4	0	1	0	0.70
Cuylle, Will	WSR	63	26	15	41	1	0	4	1	0.65
Lyle, Brady	OS	68	11	30	41	1	0	0	1	0.60
Robinson, Owen	SBY	61	9	32	41	2	0	1	1	0.67
Lalonde, Owen	GUE	68	7	34	41	1	0	1	1	0.60
Castleman, Oliver	NIAG	62	21	19	40	4	0	2	6	0.65
Cranford, Ryan	KGN	65	19	21	40	4	0	4	1	0.62
Murray, Justin	SAG	67	12	28	40	2	1	0	1	0.60
Hoelscher, Mitchell	OTT	68	10	30	40	2	0	2	0	0.59
King, Nick	NB	67	8	32	40	1	0	0	0	0.60
Drysdale, Jamie	ER	63	7	33	40	2	2	1	0	0.63
Morgan, Cody	FLNT	63	15	24	39	1	0	2	2	0.62
Gilmour, Brady	SAG	64	15	24	39	2	0	0	1	0.61
Regula, Alec	LDN	66	11	28	39	0	0	0	2	0.59
Keane, Joey	LDN	66	8	31	39	1	0	0	1	0.59
Cajka, Petr	ER	63	20	18	38	2	1	4	0	0.60
Groulx, Daylon	OS	68	19	19	38	0	0	4	1	0.56
Prueter, Aidan	MISS	66	12	26	38	1	0	1	2	0.58
Coe, Brandon	NB	65	17	20	37	1	1	2	2	0.57
Isaacson, Nick	MISS	67	14	23	37	1	0	0	3	0.55
Martin, Calvin	SAR	68	14	23	37	1	0	2	3	0.54
Sproule, Emmett	ER	68	13	24	37	0	0	2	0	0.54
Trott, Zack	SSM	68	13	24	37	2	0	4	1	0.54
Peca, Jaden	SSM	61	12	25	37	2	0	0	1	0.61
Durzi, Sean	GUE	35	11	26	37	4	0	0	2	1.06
Porco, Nicholas	SAG	67	20	16	36	4	0	4	1	0.54
MacDougall, Mathew	ER	69	16	20	36	0	0	2	2	0.52
Pekar, Matej	BAR	33	14	22	36	3	0	2	3	1.09
Moskal, Billy	LDN	68	14	22	36	2	0	0	5	0.53
Wismer, Jack	FLNT	68	13	23	36	2	0	2	0	0.53
Pilon, Darian	SBY	65	18	17	35	2	0	3	3	0.54
Golod, Maxim	ER	54	17	18	35	1	0	3	2	0.65
Bitten, Sam	OTT	68	13	22	35	2	0	1	2	0.51
Clarke, Graeme	OTT	55	23	11	34	0	0	2	2	0.62
Stevenson, Keegan	GUE	55	19	15	34	1	0	2	1	0.62
Nelson, Josh	LDN	65	17	17	34	3	1	0	0	0.52
Hinz, Brady	PBO	61	16	18	34	3	1	3	1	0.56
Morrison, Logan	HAM	47	14	20	34	1	0	1	1	0.72
Formenton, Alex	LDN	31	13	21	34	1	0	2	0	1.10
Stranges, Antonio	LDN	66	13	21	34	2	0	3	1	0.52
Commisso, Domenico	GUE	61	10	24	34	0	0	1	1	0.56
Ham, Liam	MISS	53	9	25	34	1	0	2	0	0.64
Candella, Cole	SBY	68	7	27	34	0	0	1	1	0.50
Bahl, Kevin	OTT	68	6	28	34	1	0	0	0	0.50
Primeau, Mason	NB	69	13	20	33	1	0	3	0	0.48
Constantinou, Billy	KGN	66	10	23	33	1	1	3	0	0.50
Guy, Brayden	SAR	60	19	13	32	2	0	3	1	0.53
McHugh, Nick	MISS	47	12	20	32	2	0	1	2	0.68
Quinn, Jack	OTT	61	12	20	32	1	0	2	0	0.52
Boka, Luke	WSR	64	12	20	32	1	0	1	0	0.50
Rees, Jamieson	SAR	37	10	22	32	0	0	2	0	0.86
Corcoran, Connor	WSR	68	10	22	32	0	0	2	1	0.47
Gordeev, Fedor	GUE	63	7	25	32	1	0	2	1	0.51
McCourt, Riley	FLNT	47	6	26	32	0	0	2	0	0.68
Roberts, Elijah	NIAG	61	6	26	32	0	0	2	0	0.52
Sopa, Kyen	NIAG	55	19	12	31	1	0	2	0	0.56
Philip, Matthew	NIAG	66	13	18	31	1	0	2	2	0.47
Little, Michael	PBO	62	10	21	31	2	0	2	2	0.50
Carroll, Joe	SSM	65	9	22	31	2	0	1	1	0.48
Brown, Aidan	BAR	66	14	16	30	2	0	2	0	0.45
Jenik, Jan	HAM	27	13	17	30	1	0	2	0	1.11
Guskov, Matvey	LDN	59	12	18	30	2	0	2	2	0.51
Lipanov, Alexey	KIT	61	11	19	30	2	0	2	0	0.49
Whittaker, Richard	MISS	68	11	19	30	0	0	1	2	0.44
Burghardt, Luke	NB	39	9	21	30	0	0	1	2	0.77
Kolyachonok, Vladislav	FLNT	54	4	26	30	1	0	0	0	0.56
Grima, Nick	SAR	65	4	26	30	0	0	2	0	0.46
Holmes, Hunter	FLNT	68	13	16	29	0	0	0	2	0.43
Staios, Nathan	WSR	64	9	20	29	4	1	0	0	0.45
York, Jack	BAR	61	7	22	29	0	0	2	2	0.48
Ross, Liam	SBY	68	7	22	29	1	0	1	0	0.43
Vukojevic, Michael	KIT	68	3	26	29	0	0	0	0	0.43
Singer, Danial	ER	53	17	11	28	2	0	3	0	0.53
Nurse, Isaac	HAM	68	16	12	28	1	0	1	3	0.41
Pearson, Kaleb	OS	66	14	14	28	1	0	3	2	0.42
