Name	Team	GP	G	A	PTS	GWG	OTG	First	Insurance	PTS/G
Rossi, Marco	OTT	56	39	81	120	5	0	5	5	2.14
Perfetti, Cole	SAG	61	37	74	111	2	1	2	2	1.82
McMichael, Connor	LDN	52	47	55	102	8	1	4	7	1.96
Tomasino, Philip	OSH	62	40	60	100	1	0	5	6	1.61
Kaliyev, Arthur	HAM	57	44	54	98	2	0	8	6	1.72
Gogolev, Pavel	GUE	63	45	51	96	4	1	7	3	1.52
Garreffa, Joseph	OTT	52	36	54	90	6	1	8	5	1.73
Quinn, Jack	OTT	62	52	37	89	7	2	4	8	1.44
Keating, Austen	OTT	58	32	57	89	4	0	3	5	1.53
Robertson, Nick	PBO	46	55	31	86	10	0	4	7	1.87
Thomas, Akil	PBO	49	24	60	84	4	0	3	0	1.71
Neumann, Brett	OSH	62	45	38	83	7	1	5	1	1.34
Hillis, Cam	GUE	62	24	59	83	6	1	4	1	1.34
Byfield, Quinton	SBY	45	32	50	82	6	2	4	4	1.82
Hoefenmayer, Noel	OTT	58	26	56	82	8	2	1	1	1.41
Foerster, Tyson	BAR	62	36	44	80	5	0	7	2	1.29
Coskey, Cole	SAG	62	34	46	80	5	0	7	5	1.29
Oksentyuk, Evgeniy	FLNT	58	33	45	78	6	1	6	2	1.34
Josling, Sean	SAR	60	32	46	78	3	0	2	3	1.30
Damiani, Riley	KIT	61	28	50	78	3	0	3	4	1.28
Golod, Maxim	ER	63	25	53	78	3	0	6	3	1.24
Hoelscher, Mitchell	OTT	62	34	42	76	8	1	5	3	1.23
Merkley, Ryan	LDN	60	15	61	76	3	0	1	4	1.27
Giroux, Damien	SAG	61	44	31	75	10	2	4	9	1.23
Der-Arguchintsev, Semyon	PBO	55	12	63	75	0	0	1	2	1.36
Yetman, Chad	ER	61	43	31	74	3	0	4	4	1.21
Levin, David	SBY	57	27	46	73	5	0	2	0	1.28
Murray, Blake	SBY	63	35	37	72	5	0	10	1	1.14
Schwindt, Cole	MISS	57	28	43	71	3	1	2	3	1.25
Hawel, Liam	KIT	54	23	48	71	3	0	5	2	1.31
Perreault, Jacob	SAR	57	39	31	70	2	0	5	5	1.23
Dellandrea, Ty	FLNT	47	32	38	70	6	1	3	5	1.49
Popov, Sergey	OS	61	19	51	70	3	0	4	1	1.15
Chisholm, Declan	PBO	59	13	56	69	1	0	3	0	1.17
Foudy, Liam	LDN	45	28	40	68	4	1	4	7	1.51
McGregor, Ryan	SAR	52	27	41	68	1	0	2	3	1.31
Afanasyev, Egor	WSR	62	31	36	67	2	1	7	2	1.08
Angle, Tyler	WSR	62	29	38	67	3	0	6	2	1.08
McShane, Allan	OSH	62	23	44	67	1	0	3	1	1.08
Wright, Shane	KGN	58	39	27	66	6	3	6	2	1.14
Gruden, Jonathan	LDN	59	30	36	66	4	0	6	2	1.12
Tullio, Ty	OSH	62	27	39	66	4	0	2	2	1.06
Trott, Zack	SOO	62	25	41	66	5	0	4	4	1.06
Gallant, Zach	PBO	59	33	32	65	7	1	0	6	1.10
Meireles, Greg	KIT	48	31	34	65	4	0	2	3	1.35
Chenier, Brad	SBY	59	27	38	65	1	1	2	3	1.10
Lyle, Brady	OS	62	22	43	65	1	0	2	0	1.05
Hardie, James	MISS	59	34	29	63	7	0	6	3	1.07
Pekar, Matej	SBY	51	28	35	63	6	0	4	3	1.24
Lodnia, Ivan	NIAG	41	27	35	62	3	2	4	0	1.51
McCourt, Riley	FLNT	63	18	44	62	4	2	6	0	0.98
Evangelista, Luke	LDN	62	23	38	61	6	1	3	4	0.98
Rees, Jamieson	SAR	39	18	43	61	0	0	0	4	1.56
Moncada, Luke	NB	62	34	26	60	5	0	6	2	0.97
Douglas, Curtis	WSR	62	30	30	60	2	1	1	2	0.97
Regula, Alec	LDN	56	27	33	60	4	0	2	5	1.07
Yantsis, Jonathan	KIT	63	39	20	59	4	0	7	5	0.94
Kirwin, Barret	OS	62	30	29	59	5	2	4	3	0.95
Kerins, Rory	SOO	64	30	29	59	4	0	2	4	0.92
Wisdom, Zayde	KGN	62	29	30	59	3	0	4	1	0.95
Struthers, Matthew	OS	62	22	37	59	2	2	4	2	0.95
Uba, Eric	GUE	63	29	29	58	4	0	4	5	0.92
Castleman, Oliver	NIAG	62	22	36	58	2	0	2	2	0.94
Suzuki, Ryan	SAG	44	18	40	58	2	0	5	2	1.32
Morgan, Cody	FLNT	63	15	43	58	1	0	1	1	0.92
Coe, Brandon	NB	60	25	32	57	3	0	5	0	0.95
Busdeker, DJ	SAG	62	22	35	57	1	0	4	2	0.92
Harley, Thomas	MISS	59	18	39	57	4	0	2	1	0.97
Jenik, Jan	HAM	27	22	34	56	0	0	4	2	2.07
Roth, Ryan	SAR	63	22	34	56	6	0	1	1	0.89
Tucker, Tyler	FLNT	55	17	39	56	3	0	3	1	1.02
Wismer, Jack	FLNT	62	27	27	54	2	0	2	3	0.87
Durham, Jake	FLNT	63	22	32	54	2	0	2	3	0.86
Corcoran, Connor	WSR	62	19	35	54	1	1	2	2	0.87
Kartye, Tye	SOO	64	25	28	53	1	0	6	1	0.83
Willms, Jason	LDN	60	22	31	53	4	2	2	2	0.88
Dudas, Aidan	OS	48	15	38	53	1	0	4	4	1.10
Constantinou, Billy	SOO	60	9	44	53	1	0	0	1	0.88
Pearson, Kaleb	OS	62	28	24	52	5	1	6	1	0.84
Bulitka, Shane	NB	62	23	29	52	3	0	3	2	0.84
Washkurak, Keean	MISS	49	22	30	52	2	0	1	3	1.06
Bergkvist, Axel	KIT	62	9	43	52	1	0	0	1	0.84
MacKay, Cole	SOO	64	25	26	51	3	0	1	1	0.80
D'Amico, Daniel	WSR	61	23	27	50	5	1	3	1	0.82
Pytlik, Jaromir	SOO	56	22	28	50	2	0	2	4	0.89
