Name	Team	GP	G	A	PTS	GWG	OTG	First	Insurance	PTS/G
Abbandonato, Peter	Rou	68	29	82	111	3	0	1	2	1.63
Chekhovich, Ivan	BaC	66	43	62	105	8	0	6	3	1.59
Lafrenière, Alexis	Rim	61	37	68	105	8	1	9	3	1.72
Veleno, Joseph	Dru	59	42	62	104	8	1	4	7	1.76
McKenna, Jeremy	Mon	68	45	52	97	8	1	9	6	1.43
Huntington, Jimmy	Rim	66	40	52	92	5	0	6	8	1.39
Pelletier, Jakob	Mon	65	39	50	89	6	0	4	6	1.37
Légaré, Nathan	BaC	68	45	42	87	6	0	6	4	1.28
Guay, Nicolas	Dru	64	40	47	87	7	0	6	5	1.36
Asselin, Samuel	Hal	69	48	38	86	9	0	6	5	1.25
Harvey-Pinard, Rafaël	Rou	66	40	45	85	4	0	4	11	1.29
MacLeod, Gregor	Dru	60	35	49	84	7	0	4	2	1.40
Fortier, Gabriel	BaC	68	35	48	83	4	0	3	6	1.22
Balmas, Mitchell	Cap	64	43	39	82	9	3	3	3	1.28
Teasdale, Joël	Rou	66	43	37	80	8	1	6	6	1.21
Groulx, Benoit-Olivier	Hal	65	31	49	80	9	2	6	3	1.23
Lauzon, Félix	Dru	68	28	52	80	6	0	4	4	1.18
Beaucage, Alex	Rou	68	39	40	79	7	0	8	4	1.16
Hardie, Daniel	Cha	68	34	44	78	8	0	3	2	1.15
Poulin, Samuel	She	67	29	47	76	2	0	5	6	1.13
Laferrière, Mathias	Cap	68	28	46	74	5	0	2	1	1.09
Khovanov, Alexander	Mon	64	25	49	74	7	2	3	1	1.16
Durandeau, Arnaud	Hal	68	38	35	73	4	0	6	3	1.07
Alexeyev, Yaroslav	BaC	65	36	37	73	6	0	6	5	1.12
Lavoie, Raphaël	Hal	62	32	41	73	3	0	6	5	1.18
Morand, Antoine	Hal	62	22	48	70	4	1	3	2	1.13
Bibeau, Félix	Rou	63	28	41	69	8	2	2	5	1.10
Cyr, Mika	Mon	66	28	39	67	5	0	3	4	1.02
D'Astous, Charle-Edouard	Rim	55	14	52	66	1	0	2	4	1.20
Kurashev, Philipp	Que	59	29	36	65	2	2	2	2	1.10
Serdyuk, Egor	Vic	63	25	40	65	3	0	6	3	1.03
Mercer, Dawson	Dru	68	30	34	64	5	1	5	2	0.94
Zavgorodniy, Dmitry	Rim	67	28	36	64	5	1	4	3	0.96
Tessier, Julien	VdO	61	22	42	64	3	0	5	1	1.05
Drozg, Jan	Sha	60	21	41	62	0	0	1	0	1.03
McIsaac, Jared	Hal	53	16	46	62	3	0	4	1	1.17
L'Italien, Samuel	BaC	68	14	48	62	2	0	1	2	0.91
Kotkov, Vladislav	Chi	65	34	27	61	5	0	9	3	0.94
Alexandrov, Nikita	Cha	64	27	34	61	4	0	4	5	0.95
Tardif, Benjamin	She	67	23	36	59	2	0	4	0	0.88
Garneau, Olivier	Rim	63	36	22	58	5	0	2	5	0.92
Voyer, Alex-Olivier	She	68	29	29	58	5	0	4	1	0.85
Martel, Jordan	BaC	62	26	32	58	4	0	1	4	0.94
Sokolov, Egor	Cap	68	30	27	57	2	0	7	3	0.84
Simoneau, Xavier	Dru	55	18	39	57	3	0	4	4	1.04
Gawanke, Leon	Cap	62	17	40	57	1	0	2	2	0.92
Bergeron, Justin	Rou	65	16	41	57	3	1	3	2	0.88
Getson, Keith	Hal	68	29	27	56	3	0	7	3	0.82
Beaudin, Nicolas	Dru	53	7	49	56	0	0	1	1	1.06
Lafrance, Simon	Vic	60	29	26	55	5	2	2	3	0.92
Robert, Félix	She	62	24	31	55	5	0	0	6	0.89
Gentile, Derek	Cap	63	15	40	55	2	0	3	0	0.87
Bourque, Mavrik	Sha	64	25	29	54	2	0	1	0	0.84
Abramov, Mikhail	Vic	62	16	38	54	5	1	3	0	0.87
Skubel, Brandon	Dru	68	13	41	54	1	0	2	4	0.79
Boivin, Félix	VdO	67	10	44	54	2	0	2	1	0.81
Dobson, Noah	Rou	56	15	37	52	1	0	2	2	0.93
Finoro, Giordano	Gat	68	27	24	51	2	1	4	2	0.75
Katerinakis, Alexander	BLB	67	21	29	50	1	0	5	3	0.75
Durocher, Jeffrey	Rim	65	17	33	50	3	0	1	4	0.77
Drew, Hunter	Cha	61	16	34	50	2	2	3	1	0.82
Joly, D'Artagnan	Rim	64	19	30	49	3	0	4	2	0.77
Paré, Cédric	Rim	68	17	32	49	3	0	5	2	0.72
Spence, Jordan	Mon	68	6	43	49	2	0	0	2	0.72
Comtois, Maxime	Dru	25	31	17	48	5	0	8	1	1.92
Côté, Louis-Filip	Rou	47	17	31	48	3	0	4	2	1.02
Bilodeau, Gabriel	Gat	61	11	37	48	4	1	0	0	0.79
Miller, Shaun	Cap	66	19	28	47	3	0	2	3	0.71
Coxhead, Andrew	Que	68	19	28	47	3	0	3	3	0.69
Capannelli, Adam	Mon	59	17	30	47	1	0	4	1	0.80
Maher, Jordan	Cha	68	15	32	47	0	0	5	3	0.69
Grouchy, Matthew	Que	61	14	33	47	2	0	2	3	0.77
Joseph, Pierre-Olivier	Dru	62	9	38	47	1	1	0	1	0.76
Cajkovic, Maxim	SNB	60	22	24	46	0	0	5	0	0.77
Boudrias, Shawn	Cap	56	19	27	46	2	0	3	2	0.82
Sutton, Jesse	Bat	66	18	28	46	3	1	4	1	0.70
MacKinnon, Carson	Rim	68	16	30	46	1	0	2	4	0.68
