Name	Team	GP	G	A	PTS	GWG	OTG	First	Insurance	PTS/G
Holmes, Hunter	Que	38	9	11	20	1	0	2	1	0.53
Cummings, William	Sha	60	8	12	20	1	0	2	0	0.33
Flower, Walter	Rim	53	4	16	20	0	0	1	0	0.38
Clavelle, Brendon	Cha	54	2	18	20	0	0	2	0	0.37
Lapointe, Jérémy	Dru	60	12	7	19	1	0	2	1	0.32
Rouleau, William	Rou	32	10	9	19	3	0	3	0	0.59
Parent, Xavier	She	25	9	10	19	1	0	1	1	0.76
Hochegger, Fabian	Dru	56	8	11	19	0	0	1	1	0.34
Veillette, William	Sha	63	7	12	19	1	0	0	1	0.30
McIsaac, Jared	Mon	28	4	15	19	1	0	0	1	0.68
Barron, Justin	Hal	34	4	15	19	2	0	1	0	0.56
Edwards, Cole	Cha	55	13	5	18	2	0	1	2	0.33
Couture, Alexandre	BLB	44	10	8	18	3	0	1	0	0.41
Labbé, Alex	Rou	52	8	10	18	1	0	1	1	0.35
Coulombe, Olivier	Bat	58	8	10	18	1	0	2	0	0.31
Labrecque, Xavier	Chi	45	7	11	18	2	0	2	0	0.40
Johnston, Drew	Cha	50	7	11	18	2	0	0	0	0.36
Provost, William	VdO	51	6	12	18	2	0	1	0	0.35
Charlebois, Mathieu	Dru	59	6	12	18	0	0	2	0	0.31
Haché, Olivier-Luc	Rou	59	6	12	18	1	0	0	1	0.31
Biakabutuka, Jérémie	VdO	47	5	13	18	0	0	0	0	0.38
Lacombe, Thomas	BLB	54	5	13	18	0	0	1	1	0.33
Capannelli, Adam	Gat	33	4	14	18	0	0	0	0	0.55
Hogue, Alexandre	Gat	54	4	14	18	1	0	0	0	0.33
Lavoie, Nathan	BLB	63	3	15	18	1	0	0	0	0.29
Horvath, Jason	Hal	62	2	16	18	0	0	0	0	0.29
MacIsaac, Keenan	BaC	42	1	17	18	1	1	0	0	0.43
Montreuil, Gabriel	Que	53	13	4	17	1	0	2	1	0.32
Rochon, Antoine	BaC	52	7	10	17	1	0	1	0	0.33
Barinka, Marcel	Hal	57	7	10	17	1	0	1	0	0.30
Paré, Samy	Vic	51	6	11	17	1	0	3	0	0.33
Polcs, Rudolfs	VdO	59	6	11	17	1	0	0	0	0.29
Gagnon, Mathieu	Rou	47	5	12	17	2	0	2	0	0.36
Lapierre, Hendrix	Chi	19	2	15	17	0	0	0	0	0.89
Truchon, Charle	Que	52	0	17	17	0	0	0	0	0.33
Mianscum, Israel	She	52	4	12	16	1	0	0	1	0.31
Brière, Jordan	BaC	61	4	12	16	0	0	1	0	0.26
Chouinard, Félix-Olivier	Sha	57	3	13	16	0	0	0	0	0.28
Inniss, Christopher	Rim	64	2	14	16	0	0	0	0	0.25
D'Amours, Anthony	Rim	52	1	15	16	1	0	0	0	0.31
Burridge, Jeffrey	Hal	56	9	6	15	0	0	2	0	0.27
Ethier, Thomas	Vic	50	8	7	15	0	0	4	0	0.30
Verreault, Luka	Rim	47	6	9	15	0	0	3	1	0.32
DeGagné, Alex	Vic	60	6	9	15	1	0	0	2	0.25
Ouellet, Edouard	Vic	61	6	9	15	0	0	1	1	0.25
Anctil, Vincent	She	28	5	10	15	2	0	0	1	0.54
Daigle, Nicolas	Vic	61	5	10	15	0	0	1	1	0.25
McCallum, Kale	SNB	50	4	11	15	2	0	1	1	0.30
Trudeau, William	Cha	58	4	11	15	0	0	1	1	0.26
Martineau, Vincent	Gat	46	2	13	15	1	0	0	0	0.33
Denny, Leon	Sha	61	2	13	15	0	0	0	0	0.25
Joncas, Alexandre	She	62	1	14	15	1	0	0	0	0.24
Savoie, Nicolas	Que	51	0	15	15	0	0	0	0	0.29
Valigura, Adrian	Rou	59	8	6	14	0	0	2	0	0.24
Belzile, Thomas	Rou	47	6	8	14	1	0	0	1	0.30
Dumont, Charles-Antoine	Dru	50	5	9	14	0	0	0	0	0.28
Drolet, Félix-Antoine	Chi	55	4	10	14	0	0	2	0	0.25
Elliott, Drew	Cha	55	3	11	14	0	0	1	1	0.25
Gauthier, Kaylen	Dru	48	2	12	14	1	0	1	0	0.29
Brants, Harijs	Bat	50	2	12	14	0	0	0	0	0.28
Crête-Belzile, Olivier	She	54	1	13	14	0	0	0	1	0.26
Delemont, Noah	Bat	64	3	10	13	0	0	0	0	0.20
Stewart, Sean	Mon	61	2	11	13	0	0	0	0	0.21
Louis-Jean, Darick	Gat	63	2	11	13	1	0	0	0	0.21
Larkin, Cole	Bat	64	1	12	13	0	0	0	0	0.20
Belgarde, Thomas	Chi	42	9	3	12	4	0	1	1	0.29
MacArthur, Bennett	Bat	33	8	4	12	0	0	2	0	0.36
Collin, Maxime	Rim	41	5	7	12	0	0	2	1	0.29
Gill, Justin	Cha	50	5	7	12	0	0	1	0	0.24
Dagenais, William	Gat	59	5	7	12	0	0	1	0	0.20
Dubé, Samuel	Hal	44	3	9	12	0	0	1	0	0.27
Pellerin, Maxime	Vic	56	3	9	12	0	0	2	0	0.21
Lavigne, Simon	BLB	62	3	9	12	1	0	2	0	0.19
Virtue, Braeden	Gat	56	2	10	12	0	0	0	0	0.21
Plandowski, Oscar	Cha	60	0	12	12	0	0	0	0	0.20
Robidoux, Mikael	Sha	23	6	5	11	1	0	0	0	0.48
Léonard, Liam	Mon	46	4	7	11	1	0	1	0	0.24
Munroe-Boucher, Anthony	She	48	3	8	11	0	0	1	1	0.23
Spadafore, Jordan	SNB	56	3	8	11	0	0	0	0	0.20
O'Brien, Colton	Que	46	2	9	11	0	0	1	0	0.24
Hinds, Tyson	Sha	54	2	9	11	0	0	1	1	0.20
Kabatay, Sonny	Hal	53	1	10	11	0	0	0	0	0.21
Desroches, Olivier	Hal	45	0	11	11	0	0	0	0	0.24
Bourgeois, Pierre-Olivier	Sha	59	0	11	11	0	0	0	0	0.19
Gauthier, Mavrick	VdO	62	0	11	11	0	0	0	0	0.18
Foreman, Kyle	Mon	49	8	2	10	0	0	0	1	0.20
Lessard-Aydin, Emil	VdO	49	5	5	10	0	0	1	1	0.20
Brisson, Alexis	Rou	25	4	6	10	1	0	0	0	0.40
Sato, Yu	Que	39	4	6	10	0	0	0	0	0.26
Dimovski, Aleksandar	Dru	39	3	7	10	0	0	0	0	0.26
Melanson, Jacob	Que	39	3	7	10	0	0	0	1	0.26
Huard, Stéphane Jr	BLB	46	3	7	10	1	0	0	0	0.22
Stewart, Cole	Bat	48	3	7	10	0	0	0	0	0.21
Bourret, Olivier	Rim	51	3	7	10	0	0	0	0	0.20
Ledoux, Maximilien	BLB	41	2	8	10	0	0	0	0	0.24
Picard, Olivier	VdO	49	2	8	10	0	0	0	1	0.20
Lehmus, Joona	SNB	55	2	8	10	0	0	1	0	0.18
Cournoyer, Edouard	Que	42	1	9	10	1	0	0	0	0.24
King, Ozzie	Hal	46	6	3	9	0	0	1	0	0.20
Boutin, Olivier	Gat	53	4	5	9	0	0	1	0	0.17
Drover, Alex	SNB	59	3	6	9	0	0	1	1	0.15
Jackson, Gabriel	BLB	52	2	7	9	0	0	0	1	0.17
Whynot, Cameron	Hal	57	2	7	9	1	1	0	0	0.16
Kingsbury-Fournier, Nicolas	Bat	35	1	8	9	0	0	0	0	0.26
