Name	Team	GP	G	A	PTS	GWG	OTG	First	Insurance	PTS/G
Desruisseaux, Cédric	Cha	40	42	36	78	3	0	6	8	1.95
Casey, Thomas	Cha	38	34	40	74	5	0	1	8	1.95
Budgell, Brett	Cha	40	15	43	58	2	0	3	3	1.45
Cormier, Lukas	Cha	39	16	38	54	5	1	4	0	1.38
Desgagnés, Mathieu	Bat	31	24	28	52	3	0	3	3	1.68
Francis, Ryan	SNB	32	16	34	50	1	0	2	2	1.56
Desnoyers, Elliot	Hal	37	21	28	49	3	0	2	1	1.32
Nadeau, Olivier	Sha	34	13	32	45	3	1	1	2	1.32
Bourque, Mavrik	Sha	28	19	24	43	3	1	2	0	1.54
Element, Shawn	Vic	31	17	26	43	3	1	3	1	1.39
Henman, Luke	BLB	32	16	27	43	2	0	3	1	1.34
Pelletier, Jakob	VdO	28	13	30	43	2	0	3	2	1.54
MacArthur, Bennett	Bat	33	28	12	40	4	0	4	2	1.21
Bourgault, Xavier	Sha	29	20	20	40	3	0	0	3	1.38
Spence, Jordan	VdO	32	10	30	40	3	3	0	0	1.25
L'Heureux, Zachary	Hal	33	19	20	39	2	0	4	2	1.18
Laferrière, Mathias	BLB	30	17	22	39	1	0	5	4	1.30
Burns, Brady	SNB	32	18	20	38	2	0	0	2	1.19
Légaré, Nathan	VdO	33	16	22	38	3	0	3	0	1.15
Kidney, Riley	Bat	33	13	25	38	2	1	0	2	1.15
Ponomarev, Vasily	Sha	33	10	28	38	6	1	0	1	1.15
Laaouan, Noah	Cha	39	7	31	38	4	1	1	1	0.97
Simoneau, Xavier	Dru	27	10	27	37	0	0	2	3	1.37
Poirier, Jérémie	SNB	33	9	28	37	1	1	0	0	1.12
Mercer, Dawson	Chi	23	19	17	36	4	1	0	4	1.57
Robidas, Justin	VdO	35	19	17	36	3	1	1	3	1.03
Tourigny, Miguël	BLB	32	15	21	36	3	1	3	0	1.13
Merisier-Ortiz, Christopher	BLB	39	4	32	36	0	0	0	0	0.92
Roy, Joshua	She	35	22	13	35	1	0	4	1	1.00
Larose, Nathan	Cap	31	17	16	33	2	0	0	2	1.06
Hudson, Jacob	Mon	22	15	17	32	2	0	1	2	1.45
Orr, Robert	Hal	41	15	17	32	0	0	1	1	0.78
Cormier, Xavier	Rim	32	14	18	32	4	2	2	0	1.00
Huckins, Cole	Bat	33	14	18	32	1	0	1	3	0.97
Reynolds, Peter	SNB	33	15	16	31	2	0	3	0	0.94
Rouleau, William	Rou	36	15	16	31	3	1	1	1	0.86
Gaucher, Nathan	Que	30	14	17	31	4	0	2	0	1.03
Poulin, Samuel	VdO	24	11	20	31	1	1	3	2	1.29
Vidicek, Markus	Hal	43	10	21	31	1	0	3	0	0.72
Lapierre, Hendrix	Chi	21	8	23	31	0	0	1	3	1.48
Barron, Justin	Hal	33	8	23	31	1	0	1	1	0.94
Trudeau, William	Cha	40	8	23	31	3	0	2	0	0.78
McCormick, Adam	Bat	31	7	24	31	0	0	1	0	1.00
Abramov, Mikhail	Vic	25	12	18	30	2	1	0	2	1.20
Rochette, Théo	Que	32	12	18	30	2	0	3	1	0.94
Farmer, Christophe	Chi	29	8	22	30	1	0	0	1	1.03
Ducharme, Justin	VdO	28	18	11	29	4	1	3	0	1.04
Dufour, William	Dru	23	17	12	29	2	0	4	0	1.26
Stairs, Dawson	Cap	34	15	14	29	2	1	2	0	0.85
Pinard, Simon	BLB	24	14	15	29	1	0	2	1	1.21
Frattaroli, Brandon	BaC	36	14	15	29	0	0	4	1	0.81
Roelens, Metis	Gat	31	12	17	29	2	1	2	0	0.94
Bolduc, Zachary	Rim	27	10	19	29	0	0	1	0	1.07
Dumais, Jordan	Hal	40	10	19	29	0	0	2	0	0.73
Baker, Jarrett	Cap	31	7	22	29	3	1	0	1	0.94
Verreault, Antonin	Gat	31	6	23	29	1	0	0	0	0.94
Beaucage, Alex	Vic	22	17	11	28	1	1	2	0	1.27
Dubé, Pierrick	Chi	24	17	11	28	3	0	4	2	1.17
Kidney, Liam	Cap	38	13	15	28	2	0	2	0	0.74
Likhachev, Yaroslav	BLB	23	12	16	28	1	0	3	2	1.22
Hegarty-Aubin, Émile	Cap	38	12	16	28	1	0	3	0	0.74
Houde, Samuel	Chi	29	9	19	28	1	0	2	0	0.97
Daoust, Philippe	Mon	21	6	22	28	0	0	1	0	1.33
Parent, Xavier	She	24	14	13	27	3	0	4	2	1.13
Roy, Nathaël	BaC	36	11	16	27	0	0	2	0	0.75
Allison, Ben	Bat	33	9	18	27	2	0	2	0	0.82
Bergeron, Justin	Sha	40	7	20	27	3	2	0	0	0.68
Marcotty, Félix-Antoine	Bat	23	6	21	27	1	0	1	0	1.17
Marjala, Viljami	Que	30	5	22	27	1	0	0	2	0.90
Guay, Patrick	Cha	28	13	13	26	0	0	2	0	0.93
Girouard, Nicholas	SNB	31	13	13	26	2	0	2	1	0.84
St-Laurent, Edouard	Rou	37	11	15	26	1	1	4	2	0.70
Frenette, Conor	Vic	26	10	16	26	2	0	3	1	1.00
Langlois, Francis	Mon	31	10	16	26	0	0	3	1	0.84
DesRoches, Charlie	SNB	32	4	22	26	0	0	0	0	0.81
Côté, Justin	Dru	34	17	8	25	1	0	2	2	0.74
