Name	Team	GP	G	A	PTS	GWG	OTG	First	Insurance	PTS/G
Beckman, Adam	SPO	63	48	59	107	9	0	6	6	1.70
Jarvis, Seth	POR	58	42	56	98	8	0	8	1	1.69
Hamblin, James	MH	63	36	56	92	6	0	7	5	1.46
Franklin, Zane	KAM	63	29	62	91	3	1	3	5	1.44
Zary, Connor	KAM	57	38	48	86	5	0	4	7	1.51
Zummack, Eli	SPO	64	22	64	86	6	2	3	1	1.34
Cozens, Dylan	LET	51	38	47	85	6	1	5	4	1.67
Centazzo, Orrin	KAM	63	44	37	81	7	1	6	5	1.29
Protas, Aliaksei	PA	58	31	49	80	7	1	4	4	1.38
Kemp, Brett	MH	62	30	47	77	5	1	5	3	1.24
Sawchuk, Riley	EDM	64	25	51	76	3	0	4	4	1.19
Kindopp, Bryce	EVT	63	40	34	74	11	3	8	3	1.17
Fonstad, Cole	EVT	60	15	59	74	5	0	7	1	1.23
Robins, Tristen	SAS	62	33	40	73	4	1	6	4	1.18
Johnson, Isaac	WPG	62	28	45	73	5	1	3	4	1.18
Goncalves, Gage	EVT	60	33	38	71	7	1	8	1	1.18
Wiesblatt, Ozzy	PA	64	25	45	70	5	2	4	2	1.09
Neighbours, Jake	EDM	64	23	47	70	4	0	6	5	1.09
Dureau, Jaydon	POR	61	19	51	70	3	1	2	3	1.15
Chyzowski, Ryan	MH	62	34	35	69	6	1	3	3	1.11
Hughes, Ryan	KAM	56	25	44	69	5	2	1	4	1.23
Kastelic, Mark	CGY	58	38	30	68	8	1	4	3	1.17
Okuliar, Oliver	LET	55	33	35	68	4	0	3	6	1.24
Stotts, Riley	CGY	64	25	43	68	3	0	3	3	1.06
Mutala, Sasha	TC	62	28	39	67	4	0	3	2	1.08
Cotton, Alex	LET	63	20	47	67	4	1	3	1	1.06
Korczak, Ryder	MJ	62	18	49	67	3	1	2	1	1.08
Nielsen, Tristen	VAN	61	30	35	65	3	1	4	0	1.07
Newkirk, Reece	POR	55	29	36	65	5	1	5	4	1.18
Crnkovic, Kyle	SAS	63	21	43	64	3	2	1	4	1.02
Wylie, Wyatte	EVT	62	14	50	64	2	0	3	3	1.03
Teply, Michal	WPG	53	29	34	63	8	1	6	2	1.19
Burzan, Luka	BDN	63	35	27	62	8	0	6	1	0.98
Ludvig, Johnny	POR	60	17	45	62	1	0	4	0	1.03
