Name	Team	GP	G	A	PTS	GWG	OTG	First	Insurance	PTS/G
Luchuk, Aaron	BAR	68	50	65	115	7	2	10	5	1.69
Frost, Morgan	SSM	67	42	70	112	4	2	6	8	1.67
Kyrou, Jordan	SAR	56	39	70	109	7	1	2	7	1.95
Suzuki, Nick	OS	64	42	58	100	4	0	7	2	1.56
Sokolov, Dmitry	BAR	64	50	46	96	9	1	3	5	1.50
Miletic, Sam	NIAG	63	36	56	92	4	2	5	6	1.46
Robertson, Jason	KGN	68	41	46	87	8	4	9	2	1.28
Bouchard, Evan	LDN	67	25	62	87	7	4	3	1	1.30
Mascherin, Adam	KIT	67	40	46	86	6	3	6	0	1.28
Katchouk, Boris	SSM	58	42	43	85	9	3	4	7	1.47
Nyman, Linus	KGN	67	39	46	85	7	0	2	5	1.27
Pu, Cliff	KGN	65	29	55	84	4	0	6	3	1.29
Raddysh, Taylor	SSM	58	33	50	83	4	1	2	5	1.43
Thomas, Akil	NIAG	68	22	59	81	3	0	3	2	1.19
Maksimov, Kirill	NIAG	62	34	46	80	3	1	1	7	1.29
Chiodo, Lucas	BAR	68	30	49	79	2	0	1	6	1.16
Jones, Ben	NIAG	68	30	49	79	2	0	3	4	1.16
Hague, Nicolas	MISS	67	35	43	78	3	0	7	4	1.16
Chmelevski, Sasha	OTT	68	35	41	76	5	0	4	3	1.12
Brazeau, Justin	NB	68	39	36	75	6	1	5	3	1.10
Tippett, Owen	MISS	51	36	39	75	4	0	8	2	1.47
Korostelev, Nikita	PBO	64	30	45	75	2	0	3	2	1.17
Thomas, Robert	HAM	49	24	51	75	3	1	2	4	1.53
Rymsha, Drake	SAR	68	31	42	73	4	0	2	1	1.07
Svechnikov, Andrei	BAR	44	40	32	72	6	0	7	5	1.64
Ruzicka, Adam	SAR	63	36	36	72	10	2	5	5	1.14
Studnicka, Jack	OSH	66	22	50	72	5	0	3	1	1.09
Burghardt, Luke	NB	68	28	43	71	1	0	5	2	1.04
Saigeon, Brandon	HAM	65	35	35	70	9	2	4	3	1.08
Felhaber, Tye	OTT	68	31	39	70	2	0	2	1	1.03
McLeod, Ryan	MISS	68	26	44	70	2	1	4	4	1.03
Ang, Jonathan	SAR	65	25	45	70	2	1	8	3	1.08
Gettinger, Tim	SSM	66	33	36	69	7	2	7	3	1.05
Hancock, Kevin	OS	53	24	45	69	1	0	4	2	1.30
Ratcliffe, Isaac	GUE	67	41	27	68	7	2	7	2	1.01
Strome, Matthew	HAM	65	37	31	68	6	0	10	4	1.05
Merkley, Ryan	GUE	63	13	54	67	1	0	1	1	1.06
Maksimovich, Kyle	ER	65	31	35	66	2	0	7	1	1.02
Dudas, Aidan	OS	68	31	34	65	2	0	4	2	0.96
McShane, Allan	OSH	67	20	45	65	0	0	3	2	0.97
Garreffa, Joseph	KIT	68	12	53	65	6	2	1	1	0.96
Bitten, Will	HAM	62	20	44	64	0	0	7	3	1.03
Dineen, Cam	SAR	65	20	44	64	4	2	2	1	0.98
Kopacka, Jack	SSM	66	31	32	63	6	1	6	1	0.95
Commisso, Domenico	OSH	63	23	39	62	7	0	2	4	0.98
Verbeek, Hayden	SSM	67	30	31	61	7	0	5	2	0.91
Colella, Maurizio	FLNT	67	23	38	61	2	2	2	0	0.91
Foget, Mathieu	MISS	68	22	39	61	6	1	3	4	0.90
