Name	Team	GP	G	A	PTS	GWG	OTG	First	Insurance	PTS/G
Pezzetta, Michael	SBY	54	10	9	19	1	0	0	3	0.35
Struthers, Matthew	OS	66	10	9	19	2	0	2	2	0.29
Pryce, Nick	OS	48	7	12	19	0	0	0	2	0.40
Fraser, Cole	PBO	61	6	13	19	1	0	2	0	0.31
Keane, Joey	BAR	67	1	18	19	0	0	0	0	0.28
Hargrave, Brett	NB	61	15	3	18	2	0	1	2	0.30
Seitz, Dylan	KIT	60	8	10	18	0	0	3	0	0.30
McCool, Hayden	WSR	61	8	10	18	1	0	0	0	0.30
O'Grady, Reagan	SBY	66	5	13	18	2	1	0	0	0.27
Middleton, Keaton	SAG	64	4	14	18	1	0	1	0	0.28
Roberts, Elijah	KIT	65	4	14	18	0	0	0	1	0.28
McEneny, Austin	WSR	60	1	17	18	1	1	0	0	0.30
Purboo, Cole	WSR	68	11	6	17	3	0	2	1	0.25
Fellows, Patrick	ER	48	8	9	17	1	0	1	1	0.35
Boomhower, Shaw	MISS	60	7	10	17	0	0	0	0	0.28
Smith, Jason	BAR	67	6	11	17	0	0	1	0	0.25
Stanley, Logan	WSR	35	4	13	17	0	0	1	1	0.49
Durham, Jake	FLNT	66	10	6	16	1	0	3	1	0.24
Ralph, Cedric	GUE	56	8	8	16	0	0	1	2	0.29
Cranford, Ryan	KGN	66	8	8	16	2	0	1	0	0.24
McFarland, Aidan	MISS	67	8	8	16	1	0	2	0	0.24
Rollo, Tyler	PBO	56	6	10	16	0	0	3	2	0.29
Barwell, Jesse	SAG	63	6	10	16	1	0	1	0	0.25
Martenet, Chris	OTT	55	5	11	16	1	0	1	1	0.29
Helt, Filip	SAR	53	4	12	16	0	0	1	0	0.30
Busby, Dennis	FLNT	62	2	14	16	1	0	0	0	0.26
Shoemaker, Mark	NB	68	0	16	16	0	0	0	0	0.24
Foudy, Liam	LDN	58	9	6	15	4	0	1	0	0.26
Haydon, Aaron	NIAG	50	8	7	15	0	0	2	2	0.30
Roberts, Connor	HAM	63	8	7	15	0	0	0	0	0.24
Deakin-Poot, Nick	GUE	52	7	8	15	0	0	1	0	0.29
Stevens, Liam	GUE	64	7	8	15	0	0	2	1	0.23
Chenier, Brad	NB	68	7	8	15	0	0	3	0	0.22
Isaacson, Nick	PBO	66	5	10	15	0	0	1	0	0.23
Jackson, Zachary	HAM	53	3	12	15	0	0	1	0	0.28
Davis, Hayden	SAG	67	3	12	15	0	0	0	0	0.22
Stratis, Peter	OTT	49	1	14	15	1	0	0	0	0.31
Busdeker, DJ	SAG	39	7	7	14	0	0	3	0	0.36
Dineen, Cam	NB	29	6	8	14	0	0	0	1	0.48
Billitier, Nathan	KGN	61	4	10	14	3	3	1	1	0.23
Gordeev, Fedor	FLNT	64	4	10	14	1	0	0	1	0.22
Rhodes, Kyle	GUE	65	3	11	14	2	0	0	0	0.22
Prophet, Brandon	PBO	60	1	13	14	0	0	0	0	0.23
Schaefer, Johnathon	NIAG	62	1	13	14	0	0	0	0	0.23
Tucker, Tyler	BAR	62	1	13	14	0	0	0	0	0.23
Coyle, Josh	PBO	63	11	2	13	1	0	2	2	0.21
Svoboda, Matyas	PBO	62	8	5	13	2	0	1	1	0.21
MacLean, Kyle	OSH	68	6	7	13	0	0	1	2	0.19
Pilon, Drake	SBY	58	5	8	13	0	0	2	0	0.22
Holmes, Hunter	FLNT	67	5	8	13	2	0	2	1	0.19
Wilkie, Zach	SBY	53	3	10	13	0	0	1	0	0.25
Kislinger, Max	NB	35	6	6	12	0	0	0	0	0.34
Dow, Scoley	MISS	46	5	7	12	1	0	1	1	0.26
Friend, Jacob	OS	43	2	10	12	1	0	0	1	0.28
Lalonde, Owen	SBY	64	2	10	12	1	0	0	0	0.19
Burt, Robbie	OSH	46	7	4	11	1	0	0	0	0.24
Clark, Kody	OTT	57	7	4	11	2	0	0	0	0.19
Dorval, Zack	OTT	65	6	5	11	0	0	0	0	0.17
