Name	Team	GP	G	A	PTS	GWG	OTG	First	Insurance	PTS/G
Fleury, Cale	REG	68	12	39	51	2	1	1	3	0.75
Legien, Jared	REG	61	23	27	50	7	0	2	3	0.82
Florchuk, Eric	SAS	71	16	34	50	1	1	3	0	0.70
Philp, Noah	SEA	71	14	36	50	1	0	0	1	0.70
Maser, Josh	PG	71	28	21	49	3	1	1	2	0.69
Richards, Sean	EVT	64	20	29	49	6	0	4	1	0.77
Peckford, Ryan	MJ	73	20	29	49	4	0	4	1	0.67
Johnson, Isaac	TC	68	17	31	48	2	0	4	1	0.71
Oksanen, Emil	REG	58	16	32	48	3	1	5	1	0.83
Bean, Jake	TC	57	12	36	48	0	0	2	0	0.84
Veloso, Colton	KTN	71	25	22	47	2	0	2	0	0.66
Jevne, Ryan	MH	69	20	27	47	3	2	5	2	0.68
Benjafield, Quinn	KAM	69	19	28	47	4	0	3	3	0.68
Wedman, Matthew	SEA	72	17	30	47	1	0	2	1	0.65
Ottenbreit, Turner	SEA	64	9	38	47	1	0	0	2	0.73
Chyzowski, Nick	KAM	72	20	26	46	6	0	4	1	0.64
Dach, Kirby	SAS	52	7	39	46	1	0	4	0	0.88
Nagy, Regan	PA	57	25	20	45	1	0	2	1	0.79
Kastelic, Mark	CGY	71	23	22	45	2	2	4	1	0.63
Moilanen, Sami	SEA	50	22	23	45	4	0	4	1	0.90
Bruggen-Cate, Conner	KEL	70	18	27	45	2	0	3	1	0.64
V, Juuso	TC	43	14	31	45	3	0	0	1	1.05
Smith, Luc	KAM	62	21	23	44	1	0	5	3	0.71
Stotts, Riley	CGY	69	19	25	44	4	1	1	1	0.64
Hausinger, Cameron	KTN	70	21	22	43	2	0	3	2	0.61
McCorrister, Linden	BDN	59	20	23	43	0	0	4	5	0.73
Martynov, Igor	VIC	63	18	25	43	1	0	2	1	0.68
Minulin, Artyom	SC	64	13	30	43	1	1	0	3	0.67
Davidson, Dawson	SAS	69	10	33	43	0	0	1	0	0.62
Ross, Taylor	LET	64	21	21	42	0	0	3	0	0.66
McIndoe, Ethan	SPO	71	21	21	42	3	0	5	3	0.59
Haden, Gary	MH	70	17	25	42	0	0	5	0	0.60
Langan, Tristin	MJ	70	16	26	42	1	0	4	1	0.60
McDonald, Conner	EDM	71	10	32	42	0	0	3	1	0.59
Lakusta, Joel	PG	70	9	33	42	0	0	4	1	0.60
Ballhorn, Gordie	KEL	72	6	36	42	2	0	1	1	0.58
Hughes, Ryan	POR	46	17	24	41	3	0	1	2	0.89
O'Brien, Brogan	PG	52	17	24	41	1	0	2	1	0.79
Zummack, Eli	SPO	58	15	26	41	2	0	0	3	0.71
Budik, Vojtech	PA	63	14	27	41	4	2	3	2	0.65
Yeryomenko, Vladislav	CGY	63	13	28	41	2	0	2	1	0.65
AuCoin, Parker	TC	61	19	21	40	3	0	3	2	0.66
Leschyshyn, Jake	REG	64	18	22	40	6	0	0	3	0.63
Overhardt, Alex	POR	70	15	25	40	6	0	2	1	0.57
Burzan, Luka	BDN	72	15	25	40	4	0	1	2	0.56
Foote, Nolan	KEL	50	13	27	40	0	0	1	2	0.80
Plouffe, Dylan	VAN	60	9	31	40	1	0	0	1	0.67
Tyszka, Jarret	SEA	70	8	32	40	2	1	1	0	0.57
Johnson, Reese	RD	72	23	16	39	2	1	3	1	0.54
Grishakov, Andrei	VIC	69	19	20	39	0	0	2	0	0.57
Watts, Brayden	VAN	70	17	22	39	1	0	2	1	0.56
Coleman, Luke	CGY	72	15	24	39	0	0	2	1	0.54
Hamaliuk, Dillon	SEA	72	15	24	39	1	0	3	1	0.54
H, Libor	REG	58	12	27	39	1	0	4	0	0.67
McGrew, Jake	SPO	65	19	19	38	2	0	4	3	0.58
Stuart, Brodi	KAM	70	16	22	38	2	0	3	3	0.54
Boyd, Aaron	PG	67	14	24	38	0	0	2	2	0.57
Franklin, Zane	LET	67	14	24	38	3	0	1	3	0.57
Alexeyev, Alexander	RD	45	7	30	37	0	0	2	1	0.82
Kneen, Nolan	KAM	68	7	30	37	0	0	0	0	0.54
Kindopp, Bryce	EVT	72	24	12	36	6	1	4	1	0.50
Fischer, Zach	SPO	46	22	14	36	3	1	3	2	0.78
Kemp, Brett	EDM	69	17	19	36	5	2	4	1	0.52
Leppard, Jackson	PG	68	15	21	36	2	0	0	0	0.53
Reid, Nolan	SPO	72	14	22	36	3	0	0	1	0.50
Curtis, Josh	PG	72	9	27	36	0	0	0	1	0.50
Nielsen, Tristen	CGY	49	19	16	35	2	1	3	1	0.71
Král, Filip	SPO	54	9	26	35	0	0	1	2	0.65
Reinhardt, Cole	BDN	68	19	15	34	5	1	3	1	0.50
Holt, Dawson	VAN	65	12	22	34	1	1	4	1	0.52
White, Jaeger	MH	68	10	24	34	0	0	1	0	0.50
Cowell, Jack	KEL	71	10	24	34	2	0	2	2	0.48
Smart, Jonathan	KTN	69	6	28	34	1	1	0	1	0.49
Preziuso, Tyler	MH	66	17	16	33	1	0	4	3	0.50
Leason, Brett	PA	66	16	17	33	2	0	3	0	0.50
Mikhalchuk, Vladislav	PG	60	14	19	33	1	0	1	2	0.55
Focht, Carson	CGY	69	13	20	33	1	0	2	1	0.48
Texeira, Keoni	POR	64	9	24	33	3	0	0	2	0.52
Merezhko, Igor	LET	71	5	28	33	0	0	2	0	0.46
Elder, Kaden	SC	67	18	14	32	1	0	3	4	0.48
Malenstyn, Beck	SC	42	17	15	32	3	0	1	2	0.76
Goethals, Bradly	SAS	69	15	17	32	2	0	1	1	0.46
Freadrich, Jared	VIC	71	12	20	32	3	0	2	0	0.45
Roman, Milos	VAN	39	10	22	32	0	0	3	2	0.82
Joseph, Jadon	LET	53	9	23	32	1	0	1	1	0.60
Martin, Max	PA	72	8	24	32	2	0	0	1	0.44
Brook, Josh	MJ	45	3	29	32	2	0	0	0	0.71
Barteaux, Dawson	RD	64	3	29	32	1	0	1	0	0.50
Walford, Scott	VIC	69	2	30	32	1	0	0	0	0.46
Chaulk, Conner	CGY	56	16	15	31	5	1	2	3	0.55
Zablocki, Lane	VIC	65	12	19	31	1	1	2	1	0.48
Reddekopp, Chaz	VIC	46	7	24	31	2	1	1	0	0.67
Bodak, Martin	KTN	59	7	24	31	0	0	2	0	0.53
Christiansen, Jake	EVT	72	6	25	31	1	0	0	3	0.43
Wylie, Wyatte	EVT	72	6	25	31	0	0	1	0	0.43
Barberis, Matt	VAN	56	3	27	30	0	0	2	0	0.54
Holmes, Robbie	REG	68	16	13	29	2	0	4	1	0.43
Henry, Nick	REG	53	14	15	29	2	1	2	0	0.55
Montgomery, Sean	PA	72	12	17	29	0	0	1	1	0.40
Zary, Connor	KAM	68	11	18	29	2	0	2	0	0.43
Helgesen, Tyson	SPO	72	6	23	29	1	0	0	0	0.40
Mohr, Kobe	EDM	58	11	17	28	0	0	1	0	0.48
Vala, Ondrej	EVT	59	7	21	28	0	0	1	1	0.47
Zaitsev, Dmitri	MJ	61	6	22	28	0	0	0	1	0.46
Higson, Schael	BDN	71	5	23	28	1	1	0	0	0.39
Tarzwell, Josh	RD	69	10	17	27	0	0	3	1	0.39
Kindree, Liam	KEL	50	8	19	27	2	0	2	0	0.54
Schuldhaus, Brandon	MJ	64	8	19	27	0	0	3	0	0.42
Rubins, Kristians	MH	60	7	20	27	3	2	1	0	0.45
Byram, Bowen	VAN	60	6	21	27	2	0	1	1	0.45
Dmytriw, Jared	VAN	71	15	11	26	3	1	3	0	0.37
Lockner, Bryan	MH	70	14	12	26	2	0	1	1	0.37
Thompson, Baron	BDN	60	13	13	26	2	0	2	1	0.43
Semchuk, Brendan	EDM	49	12	14	26	2	0	2	1	0.53
Mutala, Sasha	TC	68	11	15	26	1	0	0	0	0.38
Centazzo, Orrin	KAM	72	11	15	26	2	0	1	1	0.36
Ostir, Hayden	MH	41	9	17	26	2	0	0	0	0.63
Pachal, Brayden	PA	68	7	19	26	1	1	0	1	0.38
Sosunov, Oleg	MJ	71	7	19	26	0	0	1	0	0.37
Khaira, Sahvan	SC	65	6	20	26	0	0	2	0	0.40
Caller, Jackson	SAS	70	3	23	26	0	0	0	1	0.37
Nassen, Linus	MH	44	1	25	26	1	1	0	0	0.59
Kope, David	EDM	63	14	11	25	0	0	1	1	0.40
Harsch, Reece	SEA	53	10	15	25	0	0	3	0	0.47
Woo, Jett	MJ	44	9	16	25	1	0	0	0	0.57
Oliver, Kaid	VIC	64	6	19	25	0	0	2	0	0.39
De Jong, Brendan	POR	68	6	19	25	2	0	1	0	0.37
Prefontaine, Ty	LET	71	5	20	25	1	0	0	2	0.35
Hartje, Chase	BDN	58	3	22	25	0	0	0	1	0.43
Sawchuk, Riley	TC	70	15	9	24	2	0	3	2	0.34
Gricius, Jake	POR	69	13	11	24	2	0	1	0	0.35
Bargar, Blake	SEA	58	11	13	24	1	0	1	0	0.41
Patterson, Max	SC	72	9	15	24	2	1	0	0	0.33
Robertson, Matthew	EDM	67	7	17	24	0	0	0	1	0.36
Hilsendager, James	KEL	54	6	18	24	1	0	0	1	0.44
Olson, Tate	LET	54	2	22	24	1	0	0	0	0.44
Hardy, Owen	VAN	56	11	12	23	0	0	2	2	0.41
Toporowski, Luke	SPO	61	10	13	23	0	0	1	2	0.38
Fyten, Andrew	SC	69	9	14	23	2	0	3	0	0.33
Brown, Elijah	MH	43	8	15	23	1	0	1	0	0.53
Schoettler, Ryan	PG	72	8	15	23	1	1	1	0	0.32
Zudilov, Egor	LET	64	7	16	23	1	0	2	0	0.36
Rubinchik, Mark	SAS	67	4	19	23	0	0	0	0	0.34
Wytinck, Zach	BDN	68	4	19	23	0	0	2	0	0.34
Farren, Michael	SAS	62	11	11	22	2	0	3	0	0.35
Mannek, Mason	POR	58	10	12	22	0	0	1	3	0.38
Moe, Spencer	PA	72	9	13	22	0	0	2	1	0.31
Shepard, Jackson	KAM	72	9	13	22	0	0	2	0	0.31
Gardiner, Erik	KEL	31	7	15	22	1	0	2	0	0.71
Popple, Tate	MJ	71	6	16	22	0	0	1	1	0.31
MacPherson, Dylan	MH	67	4	18	22	0	0	1	0	0.33
Quigley, Matthew	POR	68	2	20	22	0	0	0	1	0.32
Schneider, Braden	BDN	66	1	21	22	0	0	0	0	0.33
James, Maxwell	TC	58	7	14	21	1	0	0	0	0.36
Taphorn, Keenan	KTN	61	7	14	21	1	0	1	1	0.34
