Name	Team	GP	G	A	PTS	GWG	OTG	First	Insurance	PTS/G
Denis, Bruno-Carl	Rou	68	12	34	46	0	0	0	2	0.68
Deslauriers, Vincent	BaC	68	23	22	45	3	2	4	2	0.66
Maher, Jordan	Bat	64	19	26	45	6	1	2	2	0.70
Laberge, Samuel	Rim	40	18	27	45	1	0	2	1	1.13
Graaskamp, Charley	VdO	61	14	31	45	0	0	0	0	0.74
Chabot, Thomas	SNB	34	10	35	45	2	0	2	0	1.32
Galipeau, Olivier	Chi	69	10	35	45	2	1	1	1	0.65
Smith, Jake	VdO	66	22	22	44	4	1	2	2	0.67
Bramwell, Connor	BLB	68	22	22	44	4	0	3	2	0.65
Melancon, TJ	BLB	67	19	25	44	5	0	4	3	0.66
Welsh, Nicholas	Sha	67	10	34	44	1	0	0	1	0.66
Zachar, Marek	She	57	18	25	43	4	0	2	1	0.75
LeBlanc, Olivier	Cap	58	10	33	43	1	1	2	1	0.74
Nadeau, Mathieu	VdO	47	23	19	42	3	1	1	3	0.89
Verbeek, Ryan	Dru	53	20	22	42	4	1	3	1	0.79
Mizyurin, Maxim	VdO	58	13	29	42	1	0	3	1	0.72
MacDonald, Anderson	She	50	29	12	41	3	0	4	1	0.82
Moynihan, Connor	Hal	55	21	20	41	1	0	4	2	0.75
Lafrance, Simon	VdO	68	19	22	41	3	0	2	1	0.60
Ayotte, Mathieu	Que	39	18	23	41	3	0	2	2	1.05
Somppi, Otto	Hal	60	17	24	41	1	0	4	0	0.68
Durandeau, Arnaud	Hal	64	15	26	41	2	1	3	1	0.64
Zboril, Jakub	SNB	50	9	32	41	3	1	0	1	0.82
Beaudin, Nicolas	Dru	64	5	36	41	2	1	2	0	0.64
Fitzgerald, Cavan	Sha	47	15	25	40	3	0	2	3	0.85
Veleno, Joseph	SNB	45	13	27	40	4	0	1	2	0.89
D'Astous, Charle-Edouard	Rim	67	13	27	40	2	0	1	2	0.60
Donaghey, Cody	She	52	11	29	40	2	1	0	0	0.77
Mikhnin, Denis	Rim	59	20	19	39	1	0	2	1	0.66
Fournier, Jordan Ty	Cap	66	18	21	39	4	1	2	2	0.59
MacDougall, Ross	Cap	63	10	29	39	2	0	1	1	0.62
Joseph, Pierre-Olivier	Cha	62	6	33	39	1	0	2	1	0.63
Hardie, Daniel	Rim	45	18	20	38	5	0	3	1	0.84
Katerinakis, Alexander	BLB	57	12	26	38	0	0	4	0	0.67
Green, Luke	She	60	5	32	37	1	1	2	0	0.62
Deschênes, Luc	Bat	62	5	32	37	1	0	1	0	0.60
Malatesta, Zachary	Bat	58	11	25	36	3	1	4	0	0.62
Klima, Kevin	Chi	61	8	28	36	0	0	1	0	0.59
Corbeil, Pascal	BLB	67	4	32	36	1	0	0	1	0.54
Gentile, Derek	Que	66	22	13	35	3	0	6	2	0.53
Garneau, Olivier	Que	58	19	16	35	3	0	1	1	0.60
Boivin, Félix	Bat	67	12	23	35	1	0	1	1	0.52
Myers, Philippe	Rou	34	10	25	35	2	0	0	1	1.03
Cheezo, Adam	VdO	66	10	25	35	0	0	4	1	0.53
Getson, Keith	Cha	61	17	17	34	0	0	2	4	0.56
Marsh, Adam	Cha	41	13	21	34	1	0	2	0	0.83
Picard, Miguel	BLB	61	12	22	34	3	0	2	2	0.56
Holwell, Adam	Bat	65	5	29	34	1	0	2	0	0.52
Bouchard, Xavier	BaC	63	4	30	34	0	0	0	0	0.54
Boudrias, Shawn	Gat	58	17	16	33	0	0	1	2	0.57
Bucek, Samuel	Sha	52	12	21	33	1	0	1	2	0.63
Beaudoin, Guillaume	BLB	61	7	26	33	0	0	1	0	0.54
Kozlov, Ivan	VdO	53	18	14	32	0	0	4	1	0.60
Hudgin, Nathan	Dru	60	17	15	32	0	0	3	1	0.53
Bernier, Justin	Sha	61	16	16	32	1	0	3	3	0.52
Laberge, Pascal	Vic	46	12	20	32	0	0	3	0	0.70
Noël, David	VdO	65	11	21	32	2	0	1	0	0.49
Aubé, Frédéric	Hal	59	9	23	32	0	0	1	1	0.54
Gawanke, Leon	Cap	54	8	24	32	0	0	2	1	0.59
McIsaac, Jared	Hal	59	4	28	32	0	0	0	0	0.54
Groulx, Benoit-Olivier	Hal	62	17	14	31	2	0	2	2	0.50
Dufort-Plante, Antoine	BaC	21	13	18	31	1	0	3	1	1.48
Lalonde, Bradley	Vic	49	11	20	31	1	0	2	0	0.63
MacLeod, Gregor	Cha	55	6	25	31	1	0	2	0	0.56
Aquin, Pascal	Cha	68	14	16	30	1	0	2	2	0.44
Hylland, Tyler	Cap	60	12	18	30	2	0	1	2	0.50
Mongo, Yvan	BLB	57	13	16	29	3	0	1	2	0.51
Huntley, Christian	Que	67	11	18	29	2	0	1	0	0.43
Kennedy, Bradley	Mon	37	10	19	29	1	0	1	0	0.78
Reginato, Cole	SNB	66	9	20	29	0	0	1	2	0.44
Pietroniro, Matteo	BaC	63	6	23	29	0	0	1	1	0.46
Durocher, Jeffrey	Gat	67	14	14	28	3	1	1	2	0.42
Chaddock, Chris	Cha	40	13	15	28	2	0	1	3	0.70
Grouchy, Matthew	Cha	62	11	17	28	0	0	1	1	0.45
Buynitskiy, Dmitry	Que	51	8	20	28	0	0	2	2	0.55
Lauzon, Jérémy	Rou	39	5	23	28	2	0	1	0	0.72
Breton, Alex	Gat	67	3	25	28	1	1	0	0	0.42
MacKinnon, Carson	Rim	65	13	14	27	2	0	3	1	0.42
Miller, Shaun	BLB	52	12	15	27	1	0	1	2	0.52
Hoyt, Peyton	Cap	57	12	15	27	1	0	4	2	0.47
Thompson, Will	Gat	65	4	23	27	0	0	0	0	0.42
McKenna, Jeremy	Mon	66	16	10	26	2	0	3	0	0.39
Smith, Declan	Cap	65	8	18	26	2	0	0	0	0.40
Dobson, Noah	Bat	63	7	19	26	2	0	1	0	0.41
Beaudin, Jérémie	Vic	54	4	22	26	1	0	1	0	0.48
Moreau, Hunter	Rim	47	12	13	25	1	0	1	1	0.53
Corson, Noah	BaC	61	10	15	25	0	0	4	0	0.41
Tessier, Julien	Mon	38	9	16	25	1	0	3	0	0.66
Guilbault, Samuel	Sha	43	9	16	25	1	0	0	0	0.58
Capannelli, Adam	Mon	66	5	20	25	1	0	0	0	0.38
Duquette, Marc-Olivier	Dru	68	4	21	25	0	0	1	0	0.37
Olivier, Mathieu	Sha	58	9	15	24	1	0	0	2	0.41
Cormier, Dominic	Rim	68	6	18	24	2	0	2	1	0.35
Pomerleau, Tristan	Vic	44	5	19	24	1	0	1	1	0.55
L'Italien, Samuel	Bat	51	4	20	24	2	0	2	0	0.47
Chainey, Jocktan	Hal	55	4	20	24	0	0	0	1	0.44
Hamelin, Brendan	Chi	60	13	10	23	1	0	1	1	0.38
Guay, Nicolas	Dru	35	10	13	23	1	0	2	1	0.66
Harvey-Pinard, Rafaël	Rou	50	10	13	23	1	0	2	2	0.46
Robert, Félix	She	45	7	16	23	0	0	2	1	0.51
Poirier, William	Dru	67	6	17	23	0	0	0	2	0.34
Simic, Axel	Mon	56	5	18	23	0	0	1	0	0.41
Bishop, Joel	Hal	65	3	20	23	1	0	0	0	0.35
Maheux, Raphaël	Que	68	0	23	23	0	0	0	0	0.34
Rubtsov, German	Chi	16	9	13	22	3	0	1	0	1.38
Boucher, Anthony	Dru	66	9	13	22	1	0	0	0	0.33
Desjardins, Olivier	Bat	68	4	18	22	1	0	0	2	0.32
Bahl, Julien	She	62	2	20	22	1	0	0	0	0.35
Bower, William	Cha	64	12	9	21	2	0	2	3	0.33
Cyr, Mika	Mon	35	10	11	21	0	0	0	1	0.60
Poulin, Anthony	BLB	63	6	15	21	2	1	0	1	0.33
Huntington, Jimmy	Vic	64	6	15	21	1	0	1	1	0.33
Thibault, Samuel	BaC	68	6	15	21	2	0	1	0	0.31
McCormick, Adam	Cap	51	5	16	21	1	0	0	0	0.41
Henley, David	VdO	55	5	16	21	3	1	0	0	0.38
Lauzon, Zachary	Rou	63	3	18	21	1	0	0	1	0.33
Le Coultre, Simon	Mon	66	3	18	21	0	0	1	0	0.32
Aucoin, Yan	BaC	68	3	18	21	0	0	0	0	0.31
Ouellet, Nicolas	VdO	59	11	9	20	2	0	2	0	0.34
Murphy, Liam	Mon	67	11	9	20	1	0	4	0	0.30
Bertrand, Yannik	Cap	60	9	11	20	1	0	1	2	0.33
Tremblay-Lapalme, Vincent	Chi	66	9	11	20	0	0	0	1	0.30
Harwell, Chase	Vic	54	8	12	20	1	0	0	1	0.37
Goetz, Keigan	Hal	59	8	12	20	0	0	1	1	0.34
Grisé, Alexandre	Rim	61	8	12	20	1	0	0	1	0.33
Côté, Louis-Filip	Que	65	7	13	20	2	0	2	0	0.31
Voyer, Alex-Olivier	Rim	65	7	13	20	0	0	1	1	0.31
Eastman, Austin	Vic	41	6	14	20	0	0	1	1	0.49
Bilodeau, Gabriel	Gat	60	5	15	20	0	0	0	1	0.33
Bernier, Alexandre	SNB	55	4	16	20	0	0	0	0	0.36
Bell, Jason	VdO	55	3	17	20	1	0	0	0	0.36
Cormier, Lane	Rou	54	12	7	19	2	0	3	2	0.35
Ethier, Thomas	BLB	56	8	11	19	1	0	1	1	0.34
Vesterinen, Saku	Cha	57	3	16	19	1	0	0	0	0.33
Higgins, Ben	Hal	59	13	5	18	2	0	3	1	0.31
Renaud, Alexandre	Mon	38	11	7	18	1	0	1	0	0.47
St-Laurent, Edouard	BaC	41	8	10	18	1	0	2	0	0.44
Jones, Cooper	Hal	67	6	12	18	2	0	1	0	0.27
Demers, Antoine	Sha	64	4	14	18	2	0	0	0	0.28
Fortier, Gabriel	BaC	25	11	6	17	0	0	2	2	0.68
Girard, Antoine	BaC	60	10	7	17	2	0	1	1	0.28
Blier, Samuel	Sha	63	9	8	17	0	0	1	0	0.27
Wojcik, Anthony	Mon	58	8	9	17	0	0	0	1	0.29
Gagné, Benjamin	Que	58	6	11	17	0	0	0	0	0.29
Marcoux, Antoine	Chi	59	6	11	17	1	0	1	1	0.29
MacIntyre, Duncan	Mon	60	6	11	17	0	0	0	0	0.28
Paquette-Bisson, Tobie	BLB	66	6	11	17	0	0	0	1	0.26
Landreville, Alexandre	Gat	68	6	11	17	1	0	2	0	0.25
Naud, Samuel	Rou	60	3	14	17	0	0	0	0	0.28
Sutton, Jesse	Que	52	8	8	16	1	1	1	1	0.31
Deschamps, Jonathan	Sha	64	8	8	16	2	0	0	0	0.25
Milot-Ouellet, Vincent	Gat	40	7	9	16	2	0	1	0	0.40
Bourcier, Jonathan	Que	29	6	10	16	1	0	1	0	0.55
Crevier-Morin, Marc-Olivier	Gat	68	6	10	16	1	0	1	0	0.24
Paré, Cédric	SNB	64	5	11	16	1	0	0	0	0.25
Simard, Louis-Philippe	Chi	63	2	14	16	1	0	0	0	0.25
Senez, Vincent	Sha	53	7	8	15	1	0	1	1	0.28
Desgagnés, Mathieu	Chi	47	6	9	15	1	0	2	0	0.32
Hinam, Tyler	Rou	57	6	9	15	0	0	0	0	0.26
Roy, Nicolas	She	60	6	9	15	0	0	1	3	0.25
Gilbert, Kevin	She	36	5	10	15	1	0	0	0	0.42
Lavigne, Zachary	Chi	65	5	10	15	1	0	0	2	0.23
DaSilva, Ryan	Dru	54	4	11	15	0	0	0	1	0.28
Després, Hugo	Rou	56	4	11	15	0	0	1	1	0.27
Turcotte, Yanick	Que	60	4	11	15	1	0	1	0	0.25
Barter, Jake	Gat	61	4	11	15	0	0	1	0	0.25
Charlebois, Mathieu	Hal	61	2	13	15	0	0	0	0	0.25
Gaumond, Samuel	Dru	54	7	7	14	0	0	2	1	0.26
Leblanc, Samuel	SNB	54	7	7	14	0	0	2	1	0.26
Meunier, Félix	Vic	54	7	7	14	0	0	0	1	0.26
Green, Matt	SNB	45	6	8	14	0	0	2	2	0.31
Ward, Kyle	SNB	57	6	8	14	1	0	0	1	0.25
Jones, Matt	BaC	21	5	9	14	0	0	0	0	0.67
Benoit, Christopher	BaC	61	5	9	14	0	0	0	1	0.23
Ford, Taylor	Rou	63	4	10	14	0	0	0	0	0.22
Carignan-Labbé, Julien	Chi	68	4	10	14	1	0	0	1	0.21
Lepage, Jordan	Hal	61	0	14	14	0	0	0	0	0.23
Element, Shawn	BaC	55	8	5	13	1	0	0	1	0.24
Bourret, Olivier	Cap	48	7	6	13	1	0	1	0	0.27
Lamontagne, Kevin	BaC	31	5	8	13	1	0	1	0	0.42
Bibeau, Félix	Rou	55	5	8	13	0	0	0	2	0.24
Coxhead, Andrew	Que	56	5	8	13	0	0	0	0	0.23
Sylvestre, Gabriel	Sha	57	1	12	13	0	0	0	0	0.23
Lavoie, Vincent	BaC	32	9	3	12	1	0	0	1	0.38
Taillon, Charles	Mon	53	8	4	12	0	0	1	0	0.23
Dicaire, Derek	Mon	59	7	5	12	0	0	0	0	0.20
Lemay, Tommy	VdO	47	6	6	12	1	0	2	0	0.26
Laferrière, Mathias	Cap	33	5	7	12	0	0	0	0	0.36
Ouimet, Charles-Olivier	Dru	52	5	7	12	1	1	0	0	0.23
Berger, Kynan	Bat	55	5	7	12	1	0	1	1	0.22
Adams-Moisan, Morgan	BLB	62	5	7	12	0	0	1	2	0.19
Boucher, Dillon	Cha	56	4	8	12	0	0	0	1	0.21
Latulippe, Nicolas	Vic	48	3	9	12	1	0	2	0	0.25
Gagnon, Kody	Chi	51	3	9	12	1	0	0	0	0.24
Groleau, Jérémy	Chi	59	3	9	12	0	0	1	0	0.20
Aspirot, Jonathan	Mon	64	3	9	12	1	0	1	0	0.19
MacIsaac, Keenan	Chi	51	2	10	12	0	0	1	0	0.24
Tesink, Marcus	Cap	54	2	10	12	0	0	0	1	0.22
Higgins, Tyler	VdO	59	2	10	12	0	0	1	0	0.20
Benoit, Simon	Sha	64	2	10	12	0	0	0	0	0.19
Baillargeon, Maxim	Mon	65	1	11	12	0	0	0	0	0.18
Bily, Shaun	Que	26	4	7	11	0	0	0	1	0.42
Trépanier, Maxim	Rim	29	4	7	11	1	0	0	0	0.38
Stewart, Chase	SNB	48	3	8	11	0	0	2	1	0.23
Crossley, Brett	Hal	49	3	8	11	0	0	2	0	0.22
Dumulong, Nicolas	Rim	50	2	9	11	0	0	1	1	0.22
Forest, Wilson	Rim	53	2	9	11	0	0	0	0	0.21
O'Brien, Sean	VdO	55	2	9	11	1	0	0	0	0.20
Webster, Bailey	SNB	57	2	9	11	0	0	0	0	0.19
Kemp, Michaël	BLB	41	0	11	11	0	0	0	0	0.27
Sabourin, Mikael	BaC	60	0	11	11	0	0	0	0	0.18
Cyr, William	Rou	38	7	3	10	1	0	1	2	0.26
Imbeault, Jason	She	66	7	3	10	0	0	3	0	0.15
Poulin, Nicolas	She	20	4	6	10	0	0	0	0	0.50
Aucoin, Emanuel	Rim	28	4	6	10	1	0	0	0	0.36
Kielb, Darien	Que	53	4	6	10	1	0	0	0	0.19
Denis, Louis-Philippe	Rim	58	4	6	10	0	0	1	0	0.17
Roy, Charlie	BLB	64	3	7	10	0	0	0	0	0.16
Fortin, Louis-Philip	Mon	41	2	8	10	0	0	2	0	0.24
Flower, Walter	Hal	47	2	8	10	0	0	1	1	0.21
