Name	Team	GP	G	A	PTS	GWG	OTG	First	Insurance	PTS/G
Blichfeld, Joachim	POR	68	53	61	114	9	0	12	10	1.68
Langan, Tristin	MJ	67	53	60	113	11	2	9	8	1.69
Almeida, Justin	MJ	64	33	78	111	2	1	6	4	1.73
Hagel, Brandon	RD	66	41	61	102	5	0	6	3	1.55
Fix-Wolansky, Trey	EDM	65	37	65	102	6	2	3	3	1.57
Mattheos, Stelio	BDN	65	44	52	96	5	2	6	3	1.48
Henry, Nick	LET	69	29	65	94	4	1	5	2	1.36
Leason, Brett	PA	55	36	53	89	10	0	7	7	1.62
Gregor, Noah	PA	63	43	45	88	6	0	5	7	1.40
AuCoin, Parker	TC	68	42	42	84	4	1	5	5	1.24
Cozens, Dylan	LET	68	34	50	84	4	1	3	5	1.24
Bellerive, Jordy	LET	68	33	50	83	4	0	1	5	1.22
Leschyshyn, Jake	LET	68	40	41	81	10	0	4	2	1.19
Elmer, Jake	LET	68	39	42	81	8	1	9	3	1.19
Dewar, Connor	EVT	59	36	45	81	8	2	10	6	1.37
Tracey, Brayden	MJ	66	36	45	81	11	1	4	5	1.23
Burzan, Luka	BDN	68	40	38	78	6	1	4	3	1.15
Koch, Davis	VAN	67	28	50	78	7	1	1	6	1.16
Kastelic, Mark	CGY	66	47	30	77	4	2	10	6	1.17
Wedman, Matthew	SEA	66	40	37	77	5	1	5	5	1.17
Malm, James	CGY	64	34	43	77	6	0	3	3	1.20
Hamblin, James	MH	67	33	44	77	7	1	9	6	1.15
Woods, Riley	SPO	65	29	46	75	5	1	7	3	1.15
Philp, Noah	SEA	56	26	49	75	1	0	8	4	1.34
Brook, Josh	MJ	59	16	59	75	4	2	0	0	1.27
Davidson, Dawson	SAS	68	13	62	75	2	1	0	0	1.10
Gerlach, Max	SAS	68	42	32	74	5	1	8	4	1.09
Kindopp, Bryce	EVT	67	39	34	73	10	1	7	7	1.09
Fonstad, Cole	PA	67	29	44	73	4	1	3	5	1.09
Dach, Kirby	SAS	62	25	48	73	5	1	4	7	1.18
Byram, Bowen	VAN	67	26	45	71	9	6	4	1	1.06
Olson, Kyle	TC	62	21	49	70	4	1	3	4	1.13
Ross, Taylor	LET	68	34	35	69	4	0	6	3	1.01
Hughes, Ryan	SAS	61	30	39	69	4	0	2	6	1.13
Topping, Kyle	KEL	68	23	46	69	5	0	4	0	1.01
Glass, Cody	POR	38	15	54	69	0	0	2	4	1.82
Smith, Ty	SPO	57	7	62	69	1	1	1	0	1.21
Jevne, Ryan	MH	63	32	36	68	4	1	5	3	1.08
Franklin, Zane	KAM	68	28	40	68	4	2	4	4	1.00
Krebs, Peyton	KTN	64	19	49	68	1	1	3	2	1.06
Zummack, Eli	SPO	61	15	53	68	6	2	3	1	1.11
Kelly, Parker	PA	64	35	32	67	4	1	3	6	1.05
Hannoun, Dante	PA	56	29	38	67	5	0	6	3	1.20
Zary, Connor	KAM	63	24	43	67	6	0	4	1	1.06
Yaremko, Nolan	TC	68	28	38	66	1	0	4	3	0.97
Woo, Jett	MJ	62	12	54	66	1	0	2	2	1.06
