Name	Team	GP	G	A	PTS	GWG	OTG	First	Insurance	PTS/G
Steel, Sam	REG	66	50	81	131	6	1	8	5	1.98
Brooks, Adam	REG	66	43	87	130	9	1	6	4	1.97
Wong, Tyler	LET	69	51	58	109	10	1	7	5	1.58
Butcher, Chad	MH	68	27	76	103	5	1	4	4	1.51
Halbgewachs, Jayden	MJ	71	50	51	101	7	1	6	5	1.42
Yamamoto, Kailer	SPO	65	42	57	99	7	2	4	3	1.52
Glass, Cody	POR	69	32	62	94	5	0	6	2	1.36
Shaw, Mason	MH	71	27	67	94	3	0	2	3	1.32
Steenbergen, Tyler	SC	72	51	39	90	12	4	3	9	1.25
Phillips, Matthew	VIC	70	50	40	90	7	1	6	7	1.29
Geekie, Morgan	TC	72	35	55	90	5	1	8	2	1.25
Estephan, Giorgio	LET	68	35	54	89	5	2	7	5	1.31
Leedahl, Dawson	REG	71	35	54	89	4	1	1	4	1.25
Owre, Steven	MH	71	26	62	88	5	1	4	2	1.24
Lind, Kole	KEL	70	30	57	87	6	2	2	5	1.24
Heponiemi, Aleksi	SC	72	28	58	86	6	0	3	0	1.19
Hobbs, Connor	REG	67	31	54	85	6	1	2	3	1.27
Spacek, Michael	RD	59	30	55	85	5	1	4	5	1.44
McKenzie, Skyler	POR	72	42	42	84	3	0	6	5	1.17
Gropp, Ryan	SEA	66	35	49	84	6	0	5	5	1.27
Sandhu, Tyler	TC	72	23	60	83	4	0	1	3	1.15
Burke, Brayden	MJ	61	19	63	82	4	1	4	2	1.34
Howden, Brett	MJ	58	38	43	81	4	0	7	2	1.40
Henry, Nick	REG	72	35	46	81	4	0	6	7	1.13
Gennaro, Matteo	CGY	69	43	37	80	4	2	3	3	1.16
Barzal, Mathew	SEA	41	10	69	79	1	0	2	1	1.93
Sideroff, Deven	KAM	67	36	42	78	10	5	6	2	1.16
Bajkov, Patrick	EVT	71	29	49	78	5	1	6	4	1.10
Balcers, Rudolfs	KAM	66	40	37	77	7	1	1	8	1.17
Bradley, Matt	MH	70	34	43	77	5	0	5	2	1.10
Anderson-Dolan, Jaret	SPO	72	39	37	76	6	0	8	0	1.06
Zwerger, Dominic	EVT	67	28	47	75	4	0	6	3	1.12
Zborosky, Zak	LET	66	41	33	74	6	1	7	1	1.12
Lindgren, Ryley	SC	72	27	47	74	4	1	7	2	1.03
Elynuik, Hudson	SPO	64	29	44	73	3	1	3	3	1.14
Walker, Jack	VIC	70	31	41	72	4	1	8	1	1.03
Harkins, Jansen	PG	64	21	51	72	1	0	5	3	1.13
Duke, Reid	BDN	59	37	34	71	4	1	8	5	1.20
Bauer, Lane	KAM	71	36	35	71	7	2	4	3	1.00
Hagel, Brandon	RD	65	31	40	71	8	2	5	1	1.09
Menell, Brennan	LET	70	12	59	71	3	3	0	1	1.01
Thurkauf, Calvin	KEL	60	33	37	70	6	0	7	3	1.17
Bear, Ethan	SEA	67	28	42	70	9	0	8	1	1.04
Iverson, Keegan	POR	55	26	44	70	1	0	4	3	1.27
Koch, Davis	EDM	72	21	49	70	1	1	1	1	0.97
Popugaev, Nikita	PG	71	29	40	69	5	2	3	3	0.97
Yamamoto, Keanu	SPO	72	26	43	69	1	0	2	2	0.96
Lewis, Ty	BDN	70	30	38	68	6	1	5	3	0.97
