Name	Team	GP	G	A	PTS	GWG	OTG	First	Insurance	PTS/G
Barré-Boulet, Alex	BLB	65	53	63	116	14	4	5	9	1.78
Abramov, Vitalii	Vic	56	45	59	104	9	2	6	7	1.86
Alain, Alexandre	BLB	65	44	43	87	7	0	5	6	1.34
Klima, Kevin	Chi	68	39	47	86	9	4	4	4	1.26
Comtois, Maxime	Vic	54	44	41	85	7	2	7	7	1.57
Somppi, Otto	Hal	59	28	55	83	2	0	8	3	1.41
Zadina, Filip	Hal	57	44	38	82	5	0	10	4	1.44
Kosorenkov, Ivan	Vic	63	36	46	82	6	0	5	3	1.30
Lafrenière, Alexis	Rim	60	42	38	80	7	1	4	5	1.33
Veleno, Joseph	Dru	64	22	57	79	3	0	3	3	1.23
Martel, Jordan	BaC	66	39	38	77	5	1	6	1	1.17
McKenna, Jeremy	Mon	68	36	41	77	5	1	6	1	1.13
Batherson, Drake	BLB	51	29	48	77	5	2	4	2	1.51
Morand, Antoine	Bat	66	26	50	76	8	1	4	1	1.15
Harvey-Pinard, Rafaël	Rou	67	26	50	76	4	0	3	2	1.13
Fortier, Maxime	Hal	61	32	43	75	4	0	4	4	1.23
Abbandonato, Peter	Rou	68	27	48	75	5	0	6	2	1.10
Phelan, James	Mon	64	33	41	74	2	0	4	3	1.16
Nadeau, Mathieu	Rim	59	25	49	74	3	0	8	5	1.25
Galipeau, Olivier	Bat	67	25	49	74	2	1	3	5	1.10
Dove-McFalls, Samuel	Rim	64	22	51	73	6	0	5	2	1.14
Balmas, Mitchell	Bat	68	42	30	72	8	2	9	2	1.06
Boucher, Matthew	Que	66	31	38	69	4	1	3	6	1.05
Dobson, Noah	Bat	67	17	52	69	2	0	4	3	1.03
Grégoire, Thomas	She	67	12	57	69	2	2	0	0	1.03
Beaudin, Nicolas	Dru	68	12	57	69	3	1	0	0	1.01
Joly, D'Artagnan	BaC	55	23	45	68	4	0	4	2	1.24
Lynch, Robert	Dru	67	28	39	67	3	0	5	1	1.00
Martineau, Phélix	Cap	68	34	32	66	9	2	2	2	0.97
Welsh, Nicholas	Mon	68	12	54	66	0	0	2	1	0.97
Poulin, Nicolas	She	64	35	30	65	6	2	4	8	1.02
Teasdale, Joël	BLB	65	32	33	65	6	1	8	3	1.00
Boucher, Mathieu	Rou	66	33	30	63	6	0	9	5	0.95
Lavoie, Raphaël	Hal	68	30	33	63	10	6	4	2	0.93
Truchon-Viel, Jeffrey	Bat	58	39	23	62	4	0	3	7	1.07
Bibeau, Félix	Rou	61	22	40	62	5	0	4	5	1.02
Adams-Moisan, Morgan	Dru	68	32	29	61	4	0	5	3	0.90
Pelletier, Jakob	Mon	60	23	38	61	2	0	2	1	1.02
Gentile, Derek	Cha	67	23	38	61	3	0	4	1	0.91
Maher, Jordan	Bat	63	19	42	61	0	0	5	2	0.97
Chekhovich, Ivan	BaC	65	29	31	60	4	1	1	4	0.92
Boudrias, Shawn	Gat	60	28	32	60	4	0	4	5	1.00
Kurashev, Philipp	Que	59	19	41	60	4	0	1	1	1.02
Fortier, Gabriel	BaC	66	26	33	59	4	0	4	1	0.89
Lafrance, Simon	Vic	68	20	39	59	2	0	2	1	0.87
Safin, Ostap	SNB	61	26	32	58	3	0	7	0	0.95
Huntington, Jimmy	Vic	68	18	40	58	2	0	1	2	0.85
Lalonde, Bradley	BaC	60	13	44	57	0	0	2	3	0.95
D'Astous, Charle-Edouard	Rim	59	18	38	56	1	0	2	4	0.95
Guay, Nicolas	Dru	68	29	26	55	4	2	3	3	0.81
Groulx, Benoit-Olivier	Hal	68	28	27	55	2	0	0	2	0.81
Tessier, Julien	VdO	67	21	33	54	0	0	0	2	0.81
Hardie, Daniel	Cha	68	25	28	53	3	1	4	3	0.78
Bramwell, Connor	Dru	55	23	30	53	4	0	4	4	0.96
Alexeyev, Yaroslav	She	63	20	33	53	4	0	2	1	0.84
Durandeau, Arnaud	Hal	67	20	33	53	2	0	2	3	0.79
Corbeil, Pascal	BLB	46	9	42	51	0	0	2	1	1.11
Garneau, Olivier	Que	67	23	27	50	5	1	5	5	0.75
Drozg, Jan	Sha	61	16	34	50	3	2	5	0	0.82
Holwell, Adam	Bat	67	10	40	50	1	0	0	3	0.75
Olivier, Mathieu	She	67	27	22	49	4	0	7	1	0.73
Kotkov, Vladislav	Chi	61	21	28	49	3	1	2	0	0.80
Getson, Keith	Cha	68	20	29	49	3	1	4	1	0.72
Hrehorcak, Patrik	Rou	63	25	23	48	2	0	7	4	0.76
Zachar, Marek	She	57	24	24	48	3	2	2	2	0.84
Zavgorodniy, Dmitry	Rim	62	26	21	47	6	2	3	2	0.76
Roy, Hugo	She	64	21	26	47	2	0	5	2	0.73
Mongo, Yvan	Dru	58	18	29	47	5	1	3	3	0.81
Laberge, Pascal	Que	64	17	30	47	3	0	3	1	0.73
